threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform_min_1_over_k,1e-05,50,25.0,3,21,0.556,13.0,True,0.04200000000000004
uniform,1e-05,50,25.0,3,22,0.347,,False,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,3,22,0.66,9.0,True,0.07200000000000001
uniform,1e-05,50,25.0,3,23,0.466,,False,0.044000000000000004
uniform_min_1_over_k,1e-05,50,25.0,3,23,0.327,,False,0.045000000000000005
uniform,1e-05,50,25.0,3,24,0.428,,False,0.058
uniform_min_1_over_k,1e-05,50,25.0,3,24,0.366,,False,0.04599999999999999
uniform,1e-05,50,25.0,3,25,0.659,12.0,True,0.067
uniform_min_1_over_k,1e-05,50,25.0,3,25,0.762,13.0,True,0.046
uniform,1e-05,50,25.0,3,26,0.414,,False,0.03900000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,26,0.435,,False,0.05000000000000002
uniform,1e-05,50,25.0,3,27,0.602,16.0,True,0.052
uniform_min_1_over_k,1e-05,50,25.0,3,27,0.774,26.0,True,0.046999999999999986
uniform,1e-05,50,25.0,3,28,0.881,21.0,True,0.03799999999999999
uniform_min_1_over_k,1e-05,50,25.0,3,28,0.753,10.0,True,0.05100000000000002
uniform,1e-05,50,25.0,3,29,0.715,12.0,True,0.04900000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,29,0.748,9.0,True,0.07499999999999998
uniform,1e-05,50,25.0,3,30,0.248,,False,0.03200000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,30,0.451,,False,0.045000000000000005
uniform,1e-05,50,25.0,3,31,0.546,23.0,True,0.039999999999999994
uniform_min_1_over_k,1e-05,50,25.0,3,31,0.816,11.0,True,0.05399999999999999
uniform,1e-05,50,25.0,3,32,0.647,10.0,True,0.064
uniform_min_1_over_k,1e-05,50,25.0,3,32,0.674,9.0,True,0.07
uniform,1e-05,50,25.0,3,33,0.418,,False,0.041999999999999996
uniform_min_1_over_k,1e-05,50,25.0,3,33,0.601,14.0,True,0.05199999999999999
uniform,1e-05,50,25.0,3,34,0.723,13.0,True,0.07
uniform_min_1_over_k,1e-05,50,25.0,3,34,0.782,12.0,True,0.056
uniform,1e-05,50,25.0,3,35,0.399,,False,0.07100000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,35,0.624,8.0,True,0.07200000000000001
uniform,1e-05,50,25.0,3,36,0.719,10.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,3,36,0.944,10.0,True,0.054000000000000006
uniform,1e-05,50,25.0,3,37,0.685,24.0,True,0.047
uniform_min_1_over_k,1e-05,50,25.0,3,37,0.472,,False,0.04000000000000001
uniform,1e-05,50,25.0,3,38,0.744,14.0,True,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,3,38,0.35,,False,0.036000000000000004
uniform,1e-05,50,25.0,3,39,0.535,11.0,True,0.06399999999999999
uniform_min_1_over_k,1e-05,50,25.0,3,39,0.59,16.0,True,0.045000000000000005
uniform,1e-05,50,25.0,3,40,0.842,8.0,True,0.07300000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,40,0.93,11.0,True,0.05100000000000002
uniform,1e-05,50,25.0,3,41,0.656,11.0,True,0.067
uniform_min_1_over_k,1e-05,50,25.0,3,41,0.63,13.0,True,0.04600000000000001
uniform,1e-05,50,25.0,3,42,0.564,14.0,True,0.04999999999999999
uniform_min_1_over_k,1e-05,50,25.0,3,42,0.801,10.0,True,0.059
uniform,1e-05,50,25.0,3,43,0.88,13.0,True,0.049999999999999996
uniform_min_1_over_k,1e-05,50,25.0,3,43,0.818,10.0,True,0.05399999999999999
uniform,1e-05,50,25.0,3,44,0.639,15.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,44,0.633,12.0,True,0.046
uniform,1e-05,50,25.0,3,45,0.767,11.0,True,0.05699999999999998
uniform_min_1_over_k,1e-05,50,25.0,3,45,0.251,,False,0.036
uniform,1e-05,50,25.0,3,46,0.748,16.0,True,0.05000000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,46,0.716,17.0,True,0.045
uniform,1e-05,50,25.0,3,47,0.848,8.0,True,0.068
uniform_min_1_over_k,1e-05,50,25.0,3,47,0.957,8.0,True,0.07400000000000001
uniform,1e-05,50,25.0,3,48,0.641,18.0,True,0.048
uniform_min_1_over_k,1e-05,50,25.0,3,48,0.813,12.0,True,0.05299999999999999
uniform,1e-05,50,25.0,3,49,0.47,,False,0.05
uniform_min_1_over_k,1e-05,50,25.0,3,49,0.31,,False,0.04500000000000001
uniform,1e-05,50,25.0,4,0,0.833,17.0,True,0.05499999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,0,0.936,11.0,True,0.055999999999999994
uniform,1e-05,50,25.0,4,1,0.48,,False,0.04200000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,1,0.476,,False,0.032
uniform,1e-05,50,25.0,4,2,0.605,13.0,True,0.066
uniform_min_1_over_k,1e-05,50,25.0,4,2,0.502,18.0,True,0.054
uniform,1e-05,50,25.0,4,3,0.345,,False,0.03499999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,3,0.576,24.0,True,0.036000000000000004
uniform,1e-05,50,25.0,4,4,0.415,,False,0.04
uniform_min_1_over_k,1e-05,50,25.0,4,4,0.523,23.0,True,0.034999999999999996
uniform,1e-05,50,25.0,4,5,0.385,,False,0.03799999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,5,0.494,,False,0.04999999999999999
uniform,1e-05,50,25.0,4,6,0.317,,False,0.04700000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,6,0.306,,False,0.04700000000000001
uniform,1e-05,50,25.0,4,7,0.878,13.0,True,0.04700000000000004
uniform_min_1_over_k,1e-05,50,25.0,4,7,0.453,,False,0.054000000000000006
uniform,1e-05,50,25.0,4,8,0.676,18.0,True,0.056
uniform_min_1_over_k,1e-05,50,25.0,4,8,0.773,9.0,True,0.062
uniform,1e-05,50,25.0,4,9,0.81,8.0,True,0.065
uniform_min_1_over_k,1e-05,50,25.0,4,9,0.523,20.0,True,0.049000000000000044
uniform,1e-05,50,25.0,4,10,0.801,17.0,True,0.04599999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,10,0.613,10.0,True,0.061999999999999986
uniform,1e-05,50,25.0,4,11,0.616,14.0,True,0.046999999999999986
uniform_min_1_over_k,1e-05,50,25.0,4,11,0.594,34.0,True,0.037
uniform,1e-05,50,25.0,4,12,0.706,21.0,True,0.036
uniform_min_1_over_k,1e-05,50,25.0,4,12,0.423,,False,0.027999999999999997
uniform,1e-05,50,25.0,4,13,0.519,21.0,True,0.03900000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,13,0.663,16.0,True,0.05299999999999999
uniform,1e-05,50,25.0,4,14,0.856,11.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,4,14,0.545,19.0,True,0.05399999999999999
uniform,1e-05,50,25.0,4,15,0.782,30.0,True,0.04100000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,15,0.524,20.0,True,0.04899999999999999
uniform,1e-05,50,25.0,4,16,0.797,11.0,True,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,16,0.452,,False,0.03799999999999999
uniform,1e-05,50,25.0,4,17,0.496,,False,0.052
uniform_min_1_over_k,1e-05,50,25.0,4,17,0.57,18.0,True,0.04200000000000001
uniform,1e-05,50,25.0,4,18,0.328,,False,0.059
uniform_min_1_over_k,1e-05,50,25.0,4,18,0.431,,False,0.05
uniform,1e-05,50,25.0,4,19,0.725,26.0,True,0.042
uniform_min_1_over_k,1e-05,50,25.0,4,19,0.803,11.0,True,0.069
uniform,1e-05,50,25.0,4,20,0.677,21.0,True,0.036000000000000004
uniform_min_1_over_k,1e-05,50,25.0,4,20,0.698,19.0,True,0.04899999999999999
uniform,1e-05,50,25.0,4,21,0.492,,False,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,4,21,0.417,,False,0.05199999999999999
uniform,1e-05,50,25.0,4,22,0.681,12.0,True,0.05500000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,22,0.855,14.0,True,0.044000000000000004
uniform,1e-05,50,25.0,4,23,0.729,13.0,True,0.04700000000000004
uniform_min_1_over_k,1e-05,50,25.0,4,23,0.36,,False,0.04999999999999999
uniform,1e-05,50,25.0,4,24,0.503,16.0,True,0.048000000000000015
uniform_min_1_over_k,1e-05,50,25.0,4,24,0.406,,False,0.05200000000000002
uniform,1e-05,50,25.0,4,25,0.397,,False,0.046000000000000006
uniform_min_1_over_k,1e-05,50,25.0,4,25,0.78,12.0,True,0.05099999999999999
uniform,1e-05,50,25.0,4,26,0.772,10.0,True,0.05499999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,26,0.52,38.0,True,0.035
uniform,1e-05,50,25.0,4,27,0.596,14.0,True,0.059
uniform_min_1_over_k,1e-05,50,25.0,4,27,0.618,20.0,True,0.05800000000000001
uniform,1e-05,50,25.0,4,28,0.502,26.0,True,0.041
uniform_min_1_over_k,1e-05,50,25.0,4,28,0.442,,False,0.039
uniform,1e-05,50,25.0,4,29,0.496,,False,0.04699999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,29,0.466,,False,0.031999999999999994
uniform,1e-05,50,25.0,4,30,0.625,10.0,True,0.057
uniform_min_1_over_k,1e-05,50,25.0,4,30,0.515,22.0,True,0.064
uniform,1e-05,50,25.0,4,31,0.603,11.0,True,0.05600000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,31,0.498,,False,0.03900000000000001
uniform,1e-05,50,25.0,4,32,0.553,8.0,True,0.07700000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,32,0.94,11.0,True,0.053000000000000005
uniform,1e-05,50,25.0,4,33,0.378,,False,0.047
uniform_min_1_over_k,1e-05,50,25.0,4,33,0.403,,False,0.03799999999999999
uniform,1e-05,50,25.0,4,34,0.425,,False,0.03699999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,34,0.609,19.0,True,0.048000000000000015
uniform,1e-05,50,25.0,4,35,0.4,,False,0.04800000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,35,0.768,13.0,True,0.043000000000000003
uniform,1e-05,50,25.0,4,36,0.703,11.0,True,0.05300000000000002
uniform_min_1_over_k,1e-05,50,25.0,4,36,0.642,18.0,True,0.057999999999999996
uniform,1e-05,50,25.0,4,37,0.351,,False,0.035999999999999976
uniform_min_1_over_k,1e-05,50,25.0,4,37,0.843,16.0,True,0.038000000000000034
uniform,1e-05,50,25.0,4,38,0.541,14.0,True,0.05499999999999999
uniform_min_1_over_k,1e-05,50,25.0,4,38,0.614,14.0,True,0.04400000000000001
uniform,1e-05,50,25.0,4,39,0.724,11.0,True,0.05199999999999996
uniform_min_1_over_k,1e-05,50,25.0,4,39,0.349,,False,0.04100000000000001
uniform,1e-05,50,25.0,4,40,0.649,25.0,True,0.047999999999999994
uniform_min_1_over_k,1e-05,50,25.0,4,40,0.738,8.0,True,0.063
uniform,1e-05,50,25.0,4,41,0.702,10.0,True,0.06200000000000003
uniform_min_1_over_k,1e-05,50,25.0,4,41,0.728,13.0,True,0.059999999999999984
uniform,1e-05,50,25.0,4,42,0.565,21.0,True,0.033
uniform_min_1_over_k,1e-05,50,25.0,4,42,0.292,,False,0.028999999999999998
uniform,1e-05,50,25.0,4,43,0.726,10.0,True,0.059
uniform_min_1_over_k,1e-05,50,25.0,4,43,0.732,14.0,True,0.056999999999999995
uniform,1e-05,50,25.0,4,44,0.514,17.0,True,0.04600000000000001
uniform_min_1_over_k,1e-05,50,25.0,4,44,0.481,,False,0.041999999999999996
uniform,1e-05,50,25.0,4,45,0.67,10.0,True,0.068
uniform_min_1_over_k,1e-05,50,25.0,4,45,0.919,20.0,True,0.033
uniform,1e-05,50,25.0,4,46,0.513,25.0,True,0.047000000000000014
uniform_min_1_over_k,1e-05,50,25.0,4,46,0.508,20.0,True,0.04400000000000001
uniform,1e-05,50,25.0,4,47,0.585,14.0,True,0.044999999999999984
uniform_min_1_over_k,1e-05,50,25.0,4,47,0.726,12.0,True,0.05099999999999999
uniform,1e-05,50,25.0,4,48,0.696,10.0,True,0.06
uniform_min_1_over_k,1e-05,50,25.0,4,48,0.693,18.0,True,0.051000000000000004
uniform,1e-05,50,25.0,4,49,0.447,,False,0.034
uniform_min_1_over_k,1e-05,50,25.0,4,49,0.459,,False,0.04400000000000001
uniform,1e-05,50,25.0,5,0,0.76,16.0,True,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,5,0,0.492,,False,0.049000000000000016
uniform,1e-05,50,25.0,5,1,0.387,,False,0.039
uniform_min_1_over_k,1e-05,50,25.0,5,1,0.561,19.0,True,0.039999999999999994
uniform,1e-05,50,25.0,5,2,0.583,19.0,True,0.039999999999999994
uniform_min_1_over_k,1e-05,50,25.0,5,2,0.815,14.0,True,0.04000000000000001
uniform,1e-05,50,25.0,5,3,0.624,13.0,True,0.041000000000000036
uniform_min_1_over_k,1e-05,50,25.0,5,3,0.54,28.0,True,0.038000000000000006
uniform,1e-05,50,25.0,5,4,0.556,16.0,True,0.05200000000000002
uniform_min_1_over_k,1e-05,50,25.0,5,4,0.668,23.0,True,0.03300000000000003
uniform,1e-05,50,25.0,5,5,0.56,26.0,True,0.041999999999999996
uniform_min_1_over_k,1e-05,50,25.0,5,5,0.554,32.0,True,0.03900000000000001
uniform,1e-05,50,25.0,5,6,0.426,,False,0.033
uniform_min_1_over_k,1e-05,50,25.0,5,6,0.805,15.0,True,0.043999999999999984
uniform,1e-05,50,25.0,5,7,0.675,12.0,True,0.049000000000000016
uniform_min_1_over_k,1e-05,50,25.0,5,7,0.519,27.0,True,0.03200000000000001
uniform,1e-05,50,25.0,5,8,0.645,11.0,True,0.060000000000000005
uniform_min_1_over_k,1e-05,50,25.0,5,8,0.66,16.0,True,0.04800000000000001
uniform,1e-05,50,25.0,5,9,0.63,21.0,True,0.044
uniform_min_1_over_k,1e-05,50,25.0,5,9,0.897,12.0,True,0.059
uniform,1e-05,50,25.0,5,10,0.887,12.0,True,0.05
uniform_min_1_over_k,1e-05,50,25.0,5,10,0.315,,False,0.028999999999999998
uniform,1e-05,50,25.0,5,11,0.594,27.0,True,0.037
uniform_min_1_over_k,1e-05,50,25.0,5,11,0.426,,False,0.037000000000000005
uniform,1e-05,50,25.0,5,12,0.72,11.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,5,12,0.701,16.0,True,0.045
uniform,1e-05,50,25.0,5,13,0.567,19.0,True,0.046000000000000006
uniform_min_1_over_k,1e-05,50,25.0,5,13,0.794,16.0,True,0.039
uniform,1e-05,50,25.0,5,14,0.773,12.0,True,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,5,14,0.778,16.0,True,0.04999999999999999
uniform,1e-05,50,25.0,5,15,0.58,20.0,True,0.053000000000000005
uniform_min_1_over_k,1e-05,50,25.0,5,15,0.77,10.0,True,0.057999999999999996
uniform,1e-05,50,25.0,5,16,0.789,13.0,True,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,16,0.435,,False,0.047000000000000014
uniform,1e-05,50,25.0,5,17,0.781,16.0,True,0.05099999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,17,0.688,15.0,True,0.04000000000000001
uniform,1e-05,50,25.0,5,18,0.545,33.0,True,0.034
uniform_min_1_over_k,1e-05,50,25.0,5,18,0.474,,False,0.044
uniform,1e-05,50,25.0,5,19,0.463,,False,0.04300000000000001
uniform_min_1_over_k,1e-05,50,25.0,5,19,0.696,10.0,True,0.05400000000000002
uniform,1e-05,50,25.0,5,20,0.678,11.0,True,0.062000000000000006
uniform_min_1_over_k,1e-05,50,25.0,5,20,0.572,19.0,True,0.060000000000000005
uniform,1e-05,50,25.0,5,21,0.715,10.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,5,21,0.403,,False,0.04
uniform,1e-05,50,25.0,5,22,0.641,15.0,True,0.048
uniform_min_1_over_k,1e-05,50,25.0,5,22,0.791,14.0,True,0.03900000000000001
uniform,1e-05,50,25.0,5,23,0.364,,False,0.054000000000000006
uniform_min_1_over_k,1e-05,50,25.0,5,23,0.885,12.0,True,0.04999999999999999
uniform,1e-05,50,25.0,5,24,0.882,9.0,True,0.064
uniform_min_1_over_k,1e-05,50,25.0,5,24,0.525,20.0,True,0.053000000000000005
uniform,1e-05,50,25.0,5,25,0.676,10.0,True,0.05299999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,25,0.752,13.0,True,0.04400000000000001
uniform,1e-05,50,25.0,5,26,0.497,,False,0.048999999999999995
uniform_min_1_over_k,1e-05,50,25.0,5,26,0.501,35.0,True,0.05
uniform,1e-05,50,25.0,5,27,0.751,11.0,True,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,5,27,0.526,21.0,True,0.033000000000000015
uniform,1e-05,50,25.0,5,28,0.647,17.0,True,0.049000000000000016
uniform_min_1_over_k,1e-05,50,25.0,5,28,0.742,12.0,True,0.056999999999999995
uniform,1e-05,50,25.0,5,29,0.448,,False,0.046000000000000006
uniform_min_1_over_k,1e-05,50,25.0,5,29,0.568,17.0,True,0.037
uniform,1e-05,50,25.0,5,30,0.779,8.0,True,0.064
uniform_min_1_over_k,1e-05,50,25.0,5,30,0.809,11.0,True,0.059
uniform,1e-05,50,25.0,5,31,0.744,13.0,True,0.049999999999999996
uniform_min_1_over_k,1e-05,50,25.0,5,31,0.498,,False,0.04400000000000001
uniform,1e-05,50,25.0,5,32,0.672,10.0,True,0.059
uniform_min_1_over_k,1e-05,50,25.0,5,32,0.682,12.0,True,0.054000000000000006
uniform,1e-05,50,25.0,5,33,0.773,9.0,True,0.068
uniform_min_1_over_k,1e-05,50,25.0,5,33,0.894,9.0,True,0.06799999999999998
uniform,1e-05,50,25.0,5,34,0.498,,False,0.035
uniform_min_1_over_k,1e-05,50,25.0,5,34,0.693,18.0,True,0.04200000000000001
uniform,1e-05,50,25.0,5,35,0.362,,False,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,5,35,0.567,16.0,True,0.03900000000000001
uniform,1e-05,50,25.0,5,36,0.654,12.0,True,0.059
uniform_min_1_over_k,1e-05,50,25.0,5,36,0.796,9.0,True,0.067
uniform,1e-05,50,25.0,5,37,0.347,,False,0.05499999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,37,0.485,,False,0.041999999999999996
uniform,1e-05,50,25.0,5,38,0.471,,False,0.045999999999999985
uniform_min_1_over_k,1e-05,50,25.0,5,38,0.763,10.0,True,0.05200000000000002
uniform,1e-05,50,25.0,5,39,0.671,11.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,5,39,0.326,,False,0.05099999999999999
uniform,1e-05,50,25.0,5,40,0.806,9.0,True,0.06
uniform_min_1_over_k,1e-05,50,25.0,5,40,0.751,12.0,True,0.061
uniform,1e-05,50,25.0,5,41,0.388,,False,0.038
uniform_min_1_over_k,1e-05,50,25.0,5,41,0.797,23.0,True,0.031000000000000007
uniform,1e-05,50,25.0,5,42,0.857,12.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,5,42,0.694,15.0,True,0.05299999999999999
uniform,1e-05,50,25.0,5,43,0.748,12.0,True,0.067
uniform_min_1_over_k,1e-05,50,25.0,5,43,0.679,11.0,True,0.056999999999999995
uniform,1e-05,50,25.0,5,44,0.891,14.0,True,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,5,44,0.257,,False,0.035
uniform,1e-05,50,25.0,5,45,0.663,15.0,True,0.043
uniform_min_1_over_k,1e-05,50,25.0,5,45,0.524,11.0,True,0.063
uniform,1e-05,50,25.0,5,46,0.527,24.0,True,0.04699999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,46,0.725,12.0,True,0.046000000000000006
uniform,1e-05,50,25.0,5,47,0.589,13.0,True,0.04399999999999999
uniform_min_1_over_k,1e-05,50,25.0,5,47,0.728,12.0,True,0.061
uniform,1e-05,50,25.0,5,48,0.616,15.0,True,0.052
uniform_min_1_over_k,1e-05,50,25.0,5,48,0.611,13.0,True,0.05
uniform,1e-05,50,25.0,5,49,0.605,10.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,5,49,0.859,12.0,True,0.055999999999999994
uniform,1e-05,50,25.0,6,0,0.731,11.0,True,0.060999999999999985
uniform_min_1_over_k,1e-05,50,25.0,6,0,0.773,16.0,True,0.051000000000000004
uniform,1e-05,50,25.0,6,1,0.593,13.0,True,0.04899999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,1,0.561,19.0,True,0.049
uniform,1e-05,50,25.0,6,2,0.625,20.0,True,0.038000000000000006
uniform_min_1_over_k,1e-05,50,25.0,6,2,0.328,,False,0.03900000000000001
uniform,1e-05,50,25.0,6,3,0.307,,False,0.03899999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,3,0.639,17.0,True,0.04400000000000001
uniform,1e-05,50,25.0,6,4,0.724,9.0,True,0.062
uniform_min_1_over_k,1e-05,50,25.0,6,4,0.405,,False,0.052
uniform,1e-05,50,25.0,6,5,0.316,,False,0.038
uniform_min_1_over_k,1e-05,50,25.0,6,5,0.739,19.0,True,0.05199999999999999
uniform,1e-05,50,25.0,6,6,0.665,17.0,True,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,6,6,0.52,26.0,True,0.05100000000000002
uniform,1e-05,50,25.0,6,7,0.467,,False,0.045000000000000005
uniform_min_1_over_k,1e-05,50,25.0,6,7,0.743,11.0,True,0.05099999999999999
uniform,1e-05,50,25.0,6,8,0.493,,False,0.05600000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,8,0.773,9.0,True,0.062
uniform,1e-05,50,25.0,6,9,0.905,15.0,True,0.045
uniform_min_1_over_k,1e-05,50,25.0,6,9,0.706,21.0,True,0.04400000000000001
uniform,1e-05,50,25.0,6,10,0.774,16.0,True,0.046999999999999986
uniform_min_1_over_k,1e-05,50,25.0,6,10,0.443,,False,0.036000000000000004
uniform,1e-05,50,25.0,6,11,0.261,,False,0.043
uniform_min_1_over_k,1e-05,50,25.0,6,11,0.827,17.0,True,0.04000000000000001
uniform,1e-05,50,25.0,6,12,0.559,15.0,True,0.05200000000000002
uniform_min_1_over_k,1e-05,50,25.0,6,12,0.621,34.0,True,0.036000000000000004
uniform,1e-05,50,25.0,6,13,0.587,18.0,True,0.045
uniform_min_1_over_k,1e-05,50,25.0,6,13,0.837,13.0,True,0.05199999999999999
uniform,1e-05,50,25.0,6,14,0.818,16.0,True,0.03799999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,14,0.807,16.0,True,0.037000000000000005
uniform,1e-05,50,25.0,6,15,0.852,11.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,15,0.679,17.0,True,0.06200000000000001
uniform,1e-05,50,25.0,6,16,0.634,13.0,True,0.045999999999999985
uniform_min_1_over_k,1e-05,50,25.0,6,16,0.598,23.0,True,0.034999999999999996
uniform,1e-05,50,25.0,6,17,0.333,,False,0.04000000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,17,0.23,,False,0.033
uniform,1e-05,50,25.0,6,18,0.651,13.0,True,0.048000000000000015
uniform_min_1_over_k,1e-05,50,25.0,6,18,0.478,,False,0.03899999999999999
uniform,1e-05,50,25.0,6,19,0.493,,False,0.057
uniform_min_1_over_k,1e-05,50,25.0,6,19,0.507,30.0,True,0.044999999999999984
uniform,1e-05,50,25.0,6,20,0.582,18.0,True,0.04400000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,20,0.2,,False,0.03
uniform,1e-05,50,25.0,6,21,0.584,9.0,True,0.065
uniform_min_1_over_k,1e-05,50,25.0,6,21,0.86,9.0,True,0.08099999999999999
uniform,1e-05,50,25.0,6,22,0.326,,False,0.05
uniform_min_1_over_k,1e-05,50,25.0,6,22,0.428,,False,0.037000000000000005
uniform,1e-05,50,25.0,6,23,0.47,,False,0.051
uniform_min_1_over_k,1e-05,50,25.0,6,23,0.673,17.0,True,0.04800000000000001
uniform,1e-05,50,25.0,6,24,0.802,20.0,True,0.058
uniform_min_1_over_k,1e-05,50,25.0,6,24,0.876,10.0,True,0.057999999999999996
uniform,1e-05,50,25.0,6,25,0.368,,False,0.04699999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,25,0.618,13.0,True,0.05499999999999999
uniform,1e-05,50,25.0,6,26,0.442,,False,0.036000000000000004
uniform_min_1_over_k,1e-05,50,25.0,6,26,0.344,,False,0.033
uniform,1e-05,50,25.0,6,27,0.816,12.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,6,27,0.895,11.0,True,0.06
uniform,1e-05,50,25.0,6,28,0.578,17.0,True,0.05199999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,28,0.76,15.0,True,0.04300000000000001
uniform,1e-05,50,25.0,6,29,0.757,22.0,True,0.033
uniform_min_1_over_k,1e-05,50,25.0,6,29,0.428,,False,0.03900000000000001
uniform,1e-05,50,25.0,6,30,0.598,11.0,True,0.060000000000000026
uniform_min_1_over_k,1e-05,50,25.0,6,30,0.91,13.0,True,0.05600000000000002
uniform,1e-05,50,25.0,6,31,0.35,,False,0.043000000000000003
uniform_min_1_over_k,1e-05,50,25.0,6,31,0.435,,False,0.05399999999999999
uniform,1e-05,50,25.0,6,32,0.547,27.0,True,0.056
uniform_min_1_over_k,1e-05,50,25.0,6,32,0.597,19.0,True,0.045999999999999985
uniform,1e-05,50,25.0,6,33,0.589,13.0,True,0.06199999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,33,0.658,14.0,True,0.047999999999999994
uniform,1e-05,50,25.0,6,34,0.453,,False,0.04900000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,34,0.475,,False,0.04999999999999999
uniform,1e-05,50,25.0,6,35,0.66,27.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,6,35,0.748,11.0,True,0.05199999999999999
uniform,1e-05,50,25.0,6,36,0.49,,False,0.058
uniform_min_1_over_k,1e-05,50,25.0,6,36,0.538,24.0,True,0.044999999999999984
uniform,1e-05,50,25.0,6,37,0.699,11.0,True,0.06300000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,37,0.622,12.0,True,0.04799999999999999
uniform,1e-05,50,25.0,6,38,0.682,11.0,True,0.05199999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,38,0.502,18.0,True,0.05399999999999999
uniform,1e-05,50,25.0,6,39,0.405,,False,0.046000000000000006
uniform_min_1_over_k,1e-05,50,25.0,6,39,0.707,14.0,True,0.046999999999999986
uniform,1e-05,50,25.0,6,40,0.877,11.0,True,0.06199999999999999
uniform_min_1_over_k,1e-05,50,25.0,6,40,0.611,14.0,True,0.057
uniform,1e-05,50,25.0,6,41,0.483,,False,0.041999999999999996
uniform_min_1_over_k,1e-05,50,25.0,6,41,0.528,33.0,True,0.038000000000000006
uniform,1e-05,50,25.0,6,42,0.538,27.0,True,0.043
uniform_min_1_over_k,1e-05,50,25.0,6,42,0.287,,False,0.033
uniform,1e-05,50,25.0,6,43,0.585,18.0,True,0.063
uniform_min_1_over_k,1e-05,50,25.0,6,43,0.601,16.0,True,0.05099999999999999
uniform,1e-05,50,25.0,6,44,0.958,9.0,True,0.061000000000000006
uniform_min_1_over_k,1e-05,50,25.0,6,44,0.742,8.0,True,0.068
uniform,1e-05,50,25.0,6,45,0.345,,False,0.05500000000000001
uniform_min_1_over_k,1e-05,50,25.0,6,45,0.721,9.0,True,0.059
uniform,1e-05,50,25.0,6,46,0.842,15.0,True,0.05
uniform_min_1_over_k,1e-05,50,25.0,6,46,0.774,12.0,True,0.06699999999999999
